,beta_10d,beta_1d,beta_20d,beta_21d,beta_5d,bm_ratio_10d,bm_ratio_1d,bm_ratio_20d,bm_ratio_21d,bm_ratio_5d,cfp_ratio_21d,ep_ratio_21d,market_cap_log_10d,market_cap_log_1d,market_cap_log_20d,market_cap_log_21d,market_cap_log_5d,momentum_20d_10d,momentum_20d_1d,momentum_20d_20d,momentum_20d_21d,momentum_20d_5d,momentum_2_1_10d,momentum_2_1_1d,momentum_2_1_20d,momentum_2_1_5d,pe_ttm_inv_10d,pe_ttm_inv_1d,pe_ttm_inv_20d,pe_ttm_inv_21d,pe_ttm_inv_5d,sp_ratio_21d,turnover_rate_abnormal_20d_10d,turnover_rate_abnormal_20d_1d,turnover_rate_abnormal_20d_20d,turnover_rate_abnormal_20d_5d,value_composite_21d
2018-06-12,,,-0.006751060523983605,,,-0.0012958471892337016,-0.00024871953586012515,-0.007964938640840757,,-0.004879419650092531,,,0.0035450037603645696,-0.010753828679196845,0.004057395194852344,,-0.05058649803194724,,,,,,,,,,0.0018823291624419627,0.0010743668954143507,-0.0009989284956767107,,0.0018272447843727451,,,,,,
2018-06-13,,,-0.00536266764051511,,,6.068383571964574e-05,0.0016500352109759793,-0.007365240247290952,,-0.003470741620328,,,0.010949583273686721,0.008831746863916674,-0.005753047273480821,,-0.04680623194811479,,,,,,,,,,0.0011860155944758233,-0.0002239945279492312,-0.0013443886507384694,,0.0029087223662842194,,,,,,
2018-06-14,,,-0.006877121451840492,,,-0.0037133114779371317,0.0009040914361905149,-0.010553013499319865,,-0.004547945037698266,,,-0.005720282027308792,-0.012923202757055982,-0.016730912248221368,,-0.04454811147663401,,,,,,,,,,0.0018096042884621418,0.0013210657131266631,-0.0004152644267127114,,0.00624756383345078,,,,,,
2018-06-15,,,-0.00869970078858781,,,-0.005088642319249959,-0.003274305255262459,-0.009331719450687868,,-0.004284383117812821,,,0.008799576161128055,-0.057625096293140304,-0.005267719196251228,,-0.021869674043207343,,,,,,,,,,-0.003355757407138424,-2.0463453022424475e-05,-0.0012689841470533154,,0.0034412642872702066,,,,,,
2018-06-19,,,-0.0005459150478160412,,,0.0007536328754525949,-0.0014324879425840374,-0.0050110292692849695,,0.0005217000582393913,,,0.0919915872712581,0.014357055502667014,0.06463229410013308,,0.056264003069806855,,,,,,,,,,-0.0011021621370744885,0.002339720952330455,-0.0016029050286458766,,0.0034038073297009276,,,,,,
2018-06-20,,,0.001960915207228151,,,0.004729762109782597,0.0021389998853123225,-0.0009387077073171918,,0.007567579115280002,,,0.07541463796338249,-0.0024455703654443443,0.0497360359163542,,0.04945751356072467,,,,,,,,,,-0.0015783802651222203,0.0026546620558788193,-0.0028127415758256525,,0.0027874762064556214,,,,,,
2018-06-21,,,0.003903817826387564,,,0.0005082469738960604,-0.0005362288506816761,-0.0028568482207300123,,0.0038917787920535116,,,0.060934722815429374,0.009248244936134593,0.04299834350518394,,0.053467091749908435,,,,,,,,,,-0.007368757672754274,0.0014784276090854828,-0.004734154068240477,,-0.001635770730958132,,,,,,
2018-06-22,,,0.0035062065978433096,,,0.0005457461051778083,0.0012888470917030406,-0.00471164591975534,,0.0006725290794418145,,,0.05478617040111736,0.01572153811098311,0.03335996738964911,,0.046723797990130655,,,,,,,,,,-0.008018099903843012,-0.0003223263757620617,-0.00509214408514361,,-0.003747652092585724,,,,,,
2018-06-25,,,0.0029450127593440055,,,-0.0024425823858840305,0.0006109794904666305,-0.0024876271462922327,,-0.0005890138728233299,,,0.0361307913066009,0.01696845765482146,0.012580790819820742,,0.052331414898926544,,,,,,,,,,-0.0076339104117688125,-0.0020891514505858595,-0.0010846150703275811,,-0.007533902430714196,,,,,,
2018-06-26,,,0.001856228696510954,,,-0.0032257091575341682,0.0025171777579875466,0.0003749317090338219,,0.00040349841213519405,,,0.004661275642938334,0.012045354280449916,-0.007472439351923423,,0.03732115822481325,,,,,,,,,,-0.003871466418530387,0.000208142055083386,0.004888545689878827,,-0.0035320440129277732,,,,,,
